DESTINO,ORIGEN,CANTIDAD,FOBDOL,FOBPES,MES
USA,AXM,8403,11124941,44008931602,DIC
PAN,AXM,996,812031,3212297191,DIC
DEU,BOG,29400,183750,724531762,DIC
DEU,BOG,19500,67925,267830312,DIC
DEU,BOG,36000,191800,756273154,DIC
DEU,BOG,6000,27750,109419082,DIC
DEU,BOG,2600,13098,52372483,DIC
DEU,BOG,29900,151117,604242835,DIC
DEU,BOG,1200,9690,38745561,DIC
DEU,BOG,300,2142,8564808,DIC
DEU,BOG,2545300,1398034,5590052929,DIC
DEU,BOG,832000,2181544,8579118118,DIC
DEU,BOG,254000,149474,586800544,DIC
DEU,BOG,4000,201,789079,DIC
DEU,BOG,3600,1500,5888655,DIC
DEU,BOG,3100,150000,599881500,DIC
DEU,BOG,370000,59200,232405584,DIC
DEU,BOG,3284000,556920,2186688769,DIC
DEU,BOG,6900,11027404,43656025276,DIC
DEU,BOG,140000,25200,99101268,DIC
DEU,BOG,2560000,441120,1734744100,DIC
DEU,BOG,50000,150000,597472500,DIC
DEU,BOG,3063,250200,996584130,DIC
DEU,BOG,1060000,190800,762915708,DIC
DEU,BOG,8104000,1452800,5778279692,DIC
DEU,BOG,5013600,1386557,5514853549,DIC
DEU,BOG,231000,37185,149603063,DIC
DEU,BOG,1183000,209590,843224583,DIC
DEU,BOG,14350,56000,223414800,DIC
DEU,BOG,137420,606350,2419063642,DIC
DEU,BOG,40500,605534,2411932752,DIC
DEU,BOG,56000,1938900,7721669250,DIC
DEU,BOG,50,2250011,8962131314,DIC
DEU,BOG,1186000,761640,3007366005,DIC
DEU,BOG,21600,1147500,4540382099,DIC
DEU,BOG,27700,1021444,4041608760,DIC
DEU,BOG,77100,1411637,5585508815,DIC
DEU,BOG,4700,263971,1044469893,DIC
DEU,BOG,11000,342531,1355312959,DIC
DEU,BOG,14740,3332816,13329364294,DIC
DEU,BOG,44000,68377,273406118,DIC
DEU,BOG,178000,1205550,4820403730,DIC
DEU,BOG,28800,21425,85687787,DIC
DEU,BOG,5415500,1984131,7860549065,DIC
DEU,BOG,700,38300,149960969,DIC
DEU,BOG,100,5000,19577150,DIC
DEU,BOG,1242000,223560,884573265,DIC
DEU,BOG,52500,556500,2216261250,DIC
DEU,BOG,17164,148647,598038096,DIC
DEU,BOG,560000,106400,411922280,DIC
DEU,BOG,840000,159200,616334840,DIC
DEU,BOG,568000,96560,386096125,DIC
DEU,BOG,1716000,325600,1301914855,DIC
DEU,BOG,7594000,1399300,5493583580,DIC
DEU,BOG,1341000,242640,957400710,DIC
DEU,BOG,9996800,1820352,7307999233,DIC
DEU,BOG,1716300,1841502,7284760931,DIC
DEU,BOG,1928000,266836,1053612619,DIC
DEU,BOG,5104000,752772,2961625592,DIC
DEU,BOG,366000,65880,263421838,DIC
DEU,BOG,2002000,513700,2054034586,DIC
DEU,BOG,180000,91700,362834892,DIC
DEU,BOG,8413,13547500,54802617950,DIC
DEU,BOG,710000,276654,1086079973,DIC
DEU,BOG,100,97181,387086500,DIC
DEU,BOG,216000,948960,3626972568,DIC
DEU,BOG,600,2250,8871817,DIC
DEU,BOG,300,200,776508,DIC
DEU,BOG,3600,14900,58751147,DIC
DEU,BOG,940000,4215856,16319962404,DIC
DEU,BOG,320000,80000,319270400,DIC
DEU,BOG,2100,11165,44919139,DIC
DEU,BOG,10800,47020,188729204,DIC
DEU,BOG,3750,10950,43783684,DIC
DEU,BOG,5000,43750,176015437,DIC
DEU,BOG,3500,18060,72659172,DIC
DEU,BOG,3236,20707,83308609,DIC
DEU,BOG,5000,17200,68774372,DIC
DEU,BOG,38750,268300,1076690483,DIC
DEU,BOG,38520,223120,892397515,DIC
DEU,BOG,3750,11850,47382343,DIC
DEU,BOG,2880,24300,97163793,DIC
DEU,BOG,3740,16485457,64830543343,DIC
DEU,BOG,9800,1163180,4652615313,DIC
DEU,BOG,8200,436338,1745312729,DIC
DEU,BOG,100,848650,3337392503,DIC
DEU,BOG,46500,2510070,9871076181,DIC
DEU,BOG,200,500,1922405,DIC
DEU,BOG,200,197060,788172060,DIC
DEU,BOG,1200,1126269,4504348953,DIC
DEU,BOG,846000,135360,535467916,DIC
DEU,BOG,8712000,1649880,6551612294,DIC
DEU,BOG,200,9100000,35301055000,DIC
DEU,BOG,408000,55488,219552698,DIC
DEU,BOG,680000,92480,365921164,DIC
DEU,BOG,1530000,382500,1526511600,DIC
DEU,BOG,2414000,603500,2408496080,DIC
DEU,BOG,420000,67200,265835136,DIC
DEU,BOG,4816000,770560,3048242892,DIC
DEU,BOG,1770000,438550,1750456046,DIC
DEU,BOG,240000,70733,273839272,DIC
DEU,BOG,98500,616300,2419452051,DIC
DEU,BOG,15000,67890,262832740,DIC
DEU,BOG,2290000,329395,1292920333,DIC
DEU,BOG,289830,264887802,1047690000000,DIC
DEU,BOG,30670,2597400,10345833810,DIC
DEU,BOG,197068500,1165758,4661295019,DIC
DEU,BOG,32160,1029944,4102421443,DIC
DEU,BOG,67550000,315217,1239619222,DIC
ARM,BOG,200000,34000,136789140,DIC
ARM,BOG,6700,15790,63136472,DIC
ARM,BOG,121400,365580,1461775285,DIC
ARM,BOG,14700,32270,129031917,DIC
ARM,BOG,40000,7400,29470500,DIC
ARM,BOG,355000,60700,242877630,DIC
ARM,BOG,944000,292640,1167891123,DIC
ARM,BOG,80000,14000,55755000,DIC
ARM,BOG,419000,76990,309328025,DIC
ARM,BOG,3545000,593875,2378919718,DIC
ARM,BOG,188500,40060,161169792,DIC
ARM,BOG,25000,2500,9891900,DIC
ARM,BOG,700,2000,7913520,DIC
ARM,BOG,35000,6300,25190613,DIC
ARM,BOG,35000,5950,23799464,DIC
ARM,BOG,605000,99250,396991067,DIC
ARM,BOG,400000,22000,87629300,DIC
ABW,BOG,1397200,431773,1722712222,DIC
ABW,BOG,342500,91095,360360888,DIC
ABW,BOG,154800,43510,173975170,DIC
ABW,BOG,25800,3955,15814107,DIC
ABW,BOG,350200,58655,233212437,DIC
ABW,BOG,51600,11866,47446319,DIC
ABW,BOG,1806000,456934,1827055160,DIC
ABW,BOG,28900,276883,1107119444,DIC
ABW,BOG,13000,106723,422183381,DIC
ABW,BOG,4000,10296,41422970,DIC
ABW,BOG,8000,8564,34454770,DIC
ABW,BOG,7000,20622,82966636,DIC
ABW,BOG,5000,140600,552922154,DIC
ABW,BOG,9000,227052,895272846,DIC
ABW,BOG,5400,121820,480339914,DIC
ABW,BOG,15900,408541,1610889418,DIC
ABW,BOG,5800,174853,689450623,DIC
ABW,BOG,33700,973230,3837475086,DIC
ABW,BOG,14800,278833,1099446883,DIC
ABW,BOG,3600,50040,197309221,DIC
ABW,BOG,3600,62940,248174308,DIC
ABW,BOG,232500,74400,292584696,DIC
ABW,BOG,129600,56890,223725045,DIC
ABW,BOG,538000,238920,955324009,DIC
ABW,BOG,201800,59729,238827003,DIC
ABW,BOG,134500,44797,179121252,DIC
ABW,BOG,33600,11946,47766200,DIC
ABW,BOG,874300,225780,902783583,DIC
ABW,BOG,10800,35838,143298600,DIC
ABW,BOG,1,3500,13941025,DIC
ABW,BOG,3240,35840,136982272,DIC
ABW,BOG,1320,9300,35545065,DIC
ABW,BOG,68000,19020,74996430,DIC
ABW,BOG,104000,27280,107565858,DIC
ABW,BOG,71000,21300,83986539,DIC
ABW,BOG,36000,7200,28389816,DIC
ABW,BOG,37000,35825,141259049,DIC
ABW,BOG,171800,121567,479342326,DIC
ABW,BOG,19800,240298,947502222,DIC
ABW,BOG,4000,8166,32243777,DIC
ABW,BOG,3500,7907,31221105,DIC
ABW,BOG,8400,18287,72206950,DIC
ABW,BOG,9000,18349,71435674,DIC
ABW,BOG,7000,15795,61547133,DIC
ABW,BOG,20400,44366,173228450,DIC
ABW,BOG,18750,71700,286050735,DIC
ABW,BOG,300,3198,12758580,DIC
ABW,BOG,7890,41630,166084966,DIC
ABW,BOG,1000,5380,21463779,DIC
ABW,BOG,157095,753002,3004139126,DIC
ABW,BOG,3000,6144,24519966,DIC
ABW,BOG,3000,6799,27133993,DIC
ABW,BOG,8400,18347,73220675,DIC
ABW,BOG,44730,34541275,135631000000,DIC
BIH,BOG,160000,27200,108797552,DIC
BIH,BOG,3296000,909800,3637844398,DIC
BIH,BOG,990000,118800,475022988,DIC
AGO,BOG,100,160827,640493527,DIC
AGO,BOG,4000,147400,589380374,DIC
AIA,BOG,180,148121,573443045,DIC
ATG,BOG,600,65748,260149056,DIC
ATG,BOG,1000,179132,708782332,DIC
ATG,BOG,25900,1782480,7052845564,DIC
ATG,BOG,39600,1039644,4113621793,DIC
ATG,BOG,1200,132260,523321077,DIC
ATG,BOG,1200,130884,517876575,DIC
ATG,BOG,21000,387270,1532334445,DIC
ATG,BOG,27600,919920,3639902659,DIC
SAU,BOG,1100,304400,1204437744,DIC
SAU,BOG,200,73600,291217536,DIC
SAU,BOG,700,237200,938543472,DIC
SAU,BOG,300,74400,294382944,DIC
SAU,BOG,300,58800,232657488,DIC
SAU,BOG,21000,2100,8222403,DIC
SAU,BOG,550000,85998,336719149,DIC
SAU,BOG,3000100,2409907,9537567496,DIC
SAU,BOG,6000,600,2349258,DIC
