DESTINO,ORIGEN,CANTIDAD,FOBDOL,FOBPES
USA,AXM,8403,11124941,44008931602
PAN,AXM,996,812031,3212297191
DEU,BOG,29400,183750,724531762
DEU,BOG,19500,67925,267830312
DEU,BOG,36000,191800,756273154
DEU,BOG,6000,27750,109419082
DEU,BOG,2600,13098,52372483
DEU,BOG,29900,151117,604242835
DEU,BOG,1200,9690,38745561
DEU,BOG,300,2142,8564808
DEU,BOG,2545300,1398034,5590052929
DEU,BOG,832000,2181544,8579118118
DEU,BOG,254000,149474,586800544
DEU,BOG,4000,201,789079
DEU,BOG,3600,1500,5888655
DEU,BOG,3100,150000,599881500
DEU,BOG,370000,59200,232405584
DEU,BOG,3284000,556920,2186688769
DEU,BOG,6900,11027404,43656025276
DEU,BOG,140000,25200,99101268
DEU,BOG,2560000,441120,1734744100
DEU,BOG,50000,150000,597472500
DEU,BOG,3063,250200,996584130
DEU,BOG,1060000,190800,762915708
DEU,BOG,8104000,1452800,5778279692
DEU,BOG,5013600,1386557,5514853549
DEU,BOG,231000,37185,149603063
DEU,BOG,1183000,209590,843224583
DEU,BOG,14350,56000,223414800
DEU,BOG,137420,606350,2419063642
DEU,BOG,40500,605534,2411932752
DEU,BOG,56000,1938900,7721669250
DEU,BOG,50,2250011,8962131314
DEU,BOG,1186000,761640,3007366005
DEU,BOG,21600,1147500,4540382099
DEU,BOG,27700,1021444,4041608760
DEU,BOG,77100,1411637,5585508815
DEU,BOG,4700,263971,1044469893
DEU,BOG,11000,342531,1355312959
DEU,BOG,14740,3332816,13329364294
DEU,BOG,44000,68377,273406118
DEU,BOG,178000,1205550,4820403730
DEU,BOG,28800,21425,85687787
DEU,BOG,5415500,1984131,7860549065
DEU,BOG,700,38300,149960969
DEU,BOG,100,5000,19577150
DEU,BOG,1242000,223560,884573265
DEU,BOG,52500,556500,2216261250
DEU,BOG,17164,148647,598038096
DEU,BOG,560000,106400,411922280
DEU,BOG,840000,159200,616334840
DEU,BOG,568000,96560,386096125
DEU,BOG,1716000,325600,1301914855
