DESTINO,ORIGEN,CANTIDAD,FOBDOL,FOBPES,MES
USA,AXM,9512.0,10464470,42247053638,NOV
PAN,AXM,1222.0,1212543,4895266473,NOV
DEU,BOG,48000.0,300000,1211157000,NOV
DEU,BOG,9000.0,63450,256159705,NOV
DEU,BOG,6000.0,22800,92047932,NOV
DEU,BOG,27000.0,94050,379697719,NOV
DEU,BOG,120420.0,690290,2761229793,NOV
DEU,BOG,6400.0,29600,119500824,NOV
DEU,BOG,3200.0,925600,3684508152,NOV
DEU,BOG,900.0,517500,2059996725,NOV
DEU,BOG,900.0,326700,1300484889,NOV
DEU,BOG,1600.0,456000,1815185520,NOV
DEU,BOG,138000.0,109350,434783978,NOV
DEU,BOG,2899500.0,1599910,6547359690,NOV
DEU,BOG,5000.0,493000,2029478870,NOV
DEU,BOG,24500.0,5472600,22528450434,NOV
DEU,BOG,2000.0,625600,2575338704,NOV
DEU,BOG,2000.0,360400,1483619036,NOV
DEU,BOG,2000.0,421600,1735554344,NOV
DEU,BOG,2000.0,333200,1371647788,NOV
DEU,BOG,2000.0,333200,1371647788,NOV
DEU,BOG,10000.0,778000,3202707020,NOV
DEU,BOG,108810.0,15777450,63696563365,NOV
DEU,BOG,100.0,252646,1008029748,NOV
DEU,BOG,2700.0,6000,24706260,NOV
DEU,BOG,900.0,2000,8235420,NOV
DEU,BOG,130000.0,20000,81138800,NOV
DEU,BOG,3816000.0,610240,2493573432,NOV
DEU,BOG,6200.0,9987190,40566786560,NOV
DEU,BOG,560000.0,100800,409831632,NOV
DEU,BOG,1248000.0,224640,913339065,NOV
DEU,BOG,1300.0,148447,588380075,NOV
DEU,BOG,256000.0,46080,187091712,NOV
DEU,BOG,5000.0,1850000,7468801500,NOV
DEU,BOG,4478700.0,1391765,5639725220,NOV
DEU,BOG,180000.0,29700,118112148,NOV
DEU,BOG,1008000.0,180800,721040767,NOV
DEU,BOG,1650.0,5040,19976392,NOV
DEU,BOG,3750.0,10400,41221128,NOV
DEU,BOG,2000.0,5000,19817850,NOV
DEU,BOG,8200.0,32000,126834240,NOV
DEU,BOG,2400.0,8800,34879416,NOV
DEU,BOG,11950.0,58300,231076131,NOV
DEU,BOG,119840.0,538010,2132440295,NOV
DEU,BOG,1300.0,7000,27744990,NOV
