DESTINO,ORIGEN,CANTIDAD,FOBDOL,FOBPES
USA,AXM,9512,10464470,42247053638
PAN,AXM,1222,1212543,4895266473
DEU,BOG,48000,300000,1211157000
DEU,BOG,9000,63450,256159705
DEU,BOG,6000,22800,92047932
DEU,BOG,27000,94050,379697719
DEU,BOG,120420,690290,2761229793
DEU,BOG,6400,29600,119500824
DEU,BOG,3200,925600,3684508152
DEU,BOG,900,517500,2059996725
DEU,BOG,900,326700,1300484889
DEU,BOG,1600,456000,1815185520
DEU,BOG,138000,109350,434783978
DEU,BOG,2899500,1599910,6547359690
DEU,BOG,5000,493000,2029478870
DEU,BOG,24500,5472600,22528450434
DEU,BOG,2000,625600,2575338704
DEU,BOG,2000,360400,1483619036
DEU,BOG,2000,421600,1735554344
DEU,BOG,2000,333200,1371647788
DEU,BOG,2000,333200,1371647788
DEU,BOG,10000,778000,3202707020
DEU,BOG,108810,15777450,63696563365
DEU,BOG,100,252646,1008029748
DEU,BOG,2700,6000,24706260
DEU,BOG,900,2000,8235420
DEU,BOG,130000,20000,81138800
DEU,BOG,3816000,610240,2493573432
DEU,BOG,6200,9987190,40566786560
DEU,BOG,560000,100800,409831632
DEU,BOG,1248000,224640,913339065
DEU,BOG,1300,148447,588380075
DEU,BOG,256000,46080,187091712
DEU,BOG,5000,1850000,7468801500
DEU,BOG,4478700,1391765,5639725220
DEU,BOG,180000,29700,118112148
DEU,BOG,1008000,180800,721040767
DEU,BOG,1650,5040,19976392
DEU,BOG,3750,10400,41221128
DEU,BOG,2000,5000,19817850
DEU,BOG,8200,32000,126834240
DEU,BOG,2400,8800,34879416
DEU,BOG,11950,58300,231076131
DEU,BOG,119840,538010,2132440295
DEU,BOG,1300,7000,27744990
DEU,BOG,750,2850,11296174
DEU,BOG,200,28745,118331379
DEU,BOG,100,56833,233958159
DEU,BOG,100,19419,79940061
DEU,BOG,98600,8815493,36289770328
DEU,BOG,900,32555,134015587
DEU,BOG,100,4102,16886252
DEU,BOG,200,633136,2606361325
DEU,BOG,600,687384,2829678097
DEU,BOG,100,37212,153100959
DEU,BOG,500,875308,3601270949
DEU,BOG,1966000,654920,2633087608
DEU,BOG,300,223831,905286716
DEU,BOG,200,74698,296070751
DEU,BOG,400,45000,178779850
DEU,BOG,100,145700,599787163
DEU,BOG,100,37419,154038681
DEU,BOG,3800,745653,3051458141
DEU,BOG,100,5000,20025300
DEU,BOG,100,5000,20025300
DEU,BOG,2160000,294290,1188104645
DEU,BOG,5820000,877565,3554730417
DEU,BOG,56000,492156,2014064763
DEU,BOG,80964,348736,1391418279
DEU,BOG,300,1031550,4100504089
DEU,BOG,400,1393300,5638838363
DEU,BOG,500,1886035,7632991108
DEU,BOG,600000,114000,464828160
DEU,BOG,1440000,273600,1115587584
DEU,BOG,17,2679,10649266
DEU,BOG,100,8283,32925670
DEU,BOG,100,51437,204466704
DEU,BOG,498,2143,8518617
DEU,BOG,1600,9543,37934277
DEU,BOG,772,3858,15335896
DEU,BOG,312,2271,9027424
DEU,BOG,80,804,3195970
DEU,BOG,160,172,683714
DEU,BOG,200,5111,20316684
DEU,BOG,200,7287,28966480
DEU,BOG,200,35464,140972590
DEU,BOG,100,12216,48559699
DEU,BOG,100,7351,29220886
DEU,BOG,100,33434,132903159
DEU,BOG,2000,64296,255582386
DEU,BOG,100,2572,10223931
DEU,BOG,2900,555615,2208619616
DEU,BOG,14,216,858619
DEU,BOG,200,949821,3907839042
DEU,BOG,100,182361,750286038
DEU,BOG,500,1400464,5761915030
DEU,BOG,14500,72500,294128150
DEU,BOG,200,2196780,8732398210
DEU,BOG,10100,631488,2510221623
DEU,BOG,1600,2625480,10618780114
DEU,BOG,2432000,471680,1923246899
DEU,BOG,323100,497205,1977304731
DEU,BOG,5836000,1057680,4343605351
DEU,BOG,100,547088,2165248473
DEU,BOG,1053000,189540,769332945
DEU,BOG,7932000,1444264,5757952701
DEU,BOG,205000,36900,146745396
DEU,BOG,1110000,278060,1105800130
DEU,BOG,225000,120200,491898066
DEU,BOG,100,92412,365745441
DEU,BOG,51000,77010,306256448
DEU,BOG,97812,551380,2248218867
DEU,BOG,30000,191830,789900309
DEU,BOG,300,2804041,11146315338
DEU,BOG,1100,11398151,45308676058
DEU,BOG,100,4499933,18321994730
DEU,BOG,100,30000,121335300
DEU,BOG,105600,633600,2606814144
DEU,BOG,183600,994896,4070806538
DEU,BOG,20000,120000,493714800
DEU,BOG,122400,635700,2615454153
DEU,BOG,1200,4710,19123306
DEU,BOG,213900,1296000,5271734640
DEU,BOG,59700,162200,657911239
DEU,BOG,1617200,9647492,39294348756
DEU,BOG,640000,83200,333220992
DEU,BOG,900,4785,18965682
DEU,BOG,4800,29120,115419158
DEU,BOG,1250,3950,15656101
DEU,BOG,28000,211400,837898698
DEU,BOG,11800,86828,344148855
DEU,BOG,2500,12900,51130053
DEU,BOG,3380,21630,85732019
DEU,BOG,26250,187300,742376661
DEU,BOG,14460,95815,379769458
DEU,BOG,5900,5407675,21906562834
DEU,BOG,40000,11400,46023966
DEU,BOG,1044000,167040,674372217
DEU,BOG,9144000,1369080,5514154033
DEU,BOG,55900,474033,1939899466
DEU,BOG,272000,36992,149710693
DEU,BOG,442000,60554,245068698
DEU,BOG,578000,75140,300940208
DEU,BOG,952000,123760,495666225
DEU,BOG,476000,148250,590134327
DEU,BOG,1197000,191520,759102926
DEU,BOG,5844000,935040,3706096492
DEU,BOG,816000,244800,976725072
DEU,BOG,400,440000,1798176600
DEU,BOG,182000,1487500,5895810375
DEU,BOG,128000,1280,5107059
DEU,BOG,1607000,455650,1843549145
DEU,BOG,805000,245940,979005979
DEU,BOG,333354,285838411,1.15754E+12
DEU,BOG,43517,823212,3329489166
DEU,BOG,226152400,3013060,12250469216
DEU,BOG,10780400,111164,449603909
ARM,BOG,5000,50,202847
ARM,BOG,10000,1000,3980670
ARM,BOG,7000,700,2786469
ARM,BOG,6000,600,2388402
ARM,BOG,1173,1500,5971005
ARM,BOG,40000,6800,27030612
ARM,BOG,864000,267840,1081320969
ARM,BOG,40000,7400,30173056
ARM,BOG,180000,33100,134963264
ARM,BOG,56000,183840,747454833
ARM,BOG,6000,13800,56107902
ARM,BOG,97000,15520,61720556
ARM,BOG,3850500,584225,2323369349
ARM,BOG,40000,400,1590736
ARM,BOG,290000,43703,177300448
ARM,BOG,395000,57956,235124014
ARM,BOG,20000,6400,25838016
ARM,BOG,80000,14400,57241296
ARM,BOG,105000,15971,64934732
ARM,BOG,210000,32466,131999938
ARM,BOG,7600,152,617142
