DESTINO,ORIGEN,CANTIDAD,FOBDOL,FOBPES,MES
USA,AXM,11011,10808289,4572565553,OCT
PAN,AXM,2158,18547,7846512366,OCT
DEU,BOG,576,447552,1814268395,OCT
DEU,BOG,84,525,222107025,OCT
DEU,BOG,30,114,48228954,OCT
DEU,BOG,90,3135,132629623,OCT
DEU,BOG,5,307,12987972,OCT
DEU,BOG,144,768,324910848,OCT
DEU,BOG,8,37,15653257,OCT
DEU,BOG,32,3355612,1422393593,OCT
DEU,BOG,20,3280,138764008,OCT
DEU,BOG,50,77414,3275084425,OCT
DEU,BOG,18,6624,2802356064,OCT
DEU,BOG,25,6200,26229781,OCT
DEU,BOG,30,4920,208146012,OCT
DEU,BOG,35,6860,290219846,OCT
DEU,BOG,20,2560,108303616,OCT
DEU,BOG,1031,10792611,4562457582,OCT
DEU,BOG,2,1161212,4893312531,OCT
DEU,BOG,8960,16128,68231278,OCT
DEU,BOG,140,20077194,8465718567,OCT
DEU,BOG,4900,882,3715425,OCT
DEU,BOG,14400,2592,10918800,OCT
DEU,BOG,10555,18919,800646404,OCT
DEU,BOG,37203,663934,2809748769,OCT
DEU,BOG,58832,1577371,6602233845,OCT
DEU,BOG,2825,452,191223572,OCT
DEU,BOG,23620,42634,1789415985,OCT
DEU,BOG,9,18,7653762,OCT
DEU,BOG,495,1445,614427,OCT
DEU,BOG,78,195,82915755,OCT
DEU,BOG,20,75,31890675,OCT
DEU,BOG,2706,10305,438177874,OCT
DEU,BOG,99,3672,156136744,OCT
DEU,BOG,81,2769,117740372,OCT
DEU,BOG,1962,1008,428610672,OCT
DEU,BOG,17706,7254,3084466086,OCT
DEU,BOG,29,164,69734276,OCT
DEU,BOG,325,1215,51662893,OCT
DEU,BOG,140,31766,1346513091,OCT
DEU,BOG,30,4514457,1905728364,OCT
DEU,BOG,28478,98500,417526725,OCT
DEU,BOG,27,61500,260689275,OCT
DEU,BOG,106196,2840836,1197021349,OCT
DEU,BOG,10,61991,255441354,OCT
DEU,BOG,270,961438,3961720651,OCT
DEU,BOG,12,35354,145680399,OCT
DEU,BOG,1,608,25053369,OCT
DEU,BOG,32,150,637350,OCT
DEU,BOG,3,120,4944744,OCT
DEU,BOG,1,3710,162745086,OCT
DEU,BOG,31,240964,1015415067,OCT
DEU,BOG,4,32786,13815922,OCT
DEU,BOG,27,317202,1336679711,OCT
DEU,BOG,8,34071,1381156569,OCT
DEU,BOG,24,151978,637709295,OCT
DEU,BOG,2,100,405376,OCT
DEU,BOG,2,549978,2266250346,OCT
DEU,BOG,37600,6812,2884885424,OCT
DEU,BOG,11520,20736,8735040,OCT
DEU,BOG,63680,1150384,48459926,OCT
DEU,BOG,4400,836,3552164,OCT
DEU,BOG,8800,1672,7104328,OCT
DEU,BOG,5476,93092,39215005,OCT
DEU,BOG,16438,34638,145912575,OCT
DEU,BOG,2802,396594,1677834542,OCT
DEU,BOG,1,240224,99487088,OCT
DEU,BOG,1,36198,149911483,OCT
DEU,BOG,1,268195,1110710818,OCT
DEU,BOG,50,4345,184649899,OCT
DEU,BOG,300,6845,290892649,OCT
DEU,BOG,24480,4892,20786108,OCT
DEU,BOG,2250,672,284296992,OCT
DEU,BOG,26256,2849186,1200219603,OCT
DEU,BOG,23220,319957,135088725,OCT
DEU,BOG,70780,1080106,4562043843,OCT
DEU,BOG,1800,9245,391881682,OCT
DEU,BOG,1550,1012275,4294960455,OCT
DEU,BOG,5,55000,222956800,OCT
DEU,BOG,2714,321464,141015327,OCT
DEU,BOG,12521,9440,399065616,OCT
DEU,BOG,7100,1278,5383575,OCT
DEU,BOG,41367,745006,3138337775,OCT
DEU,BOG,1,63961,271770289,OCT
DEU,BOG,246,208167,864921394,OCT
DEU,BOG,7537,41130,1743439005,OCT
DEU,BOG,1300,7800,33063030,OCT
DEU,BOG,2,1,423885,OCT
DEU,BOG,180,477,202193145,OCT
DEU,BOG,3420,181838,7707840063,OCT
DEU,BOG,4800,624,263990064,OCT
DEU,BOG,20,847,36015202,OCT
DEU,BOG,25,11266,48109937,OCT
DEU,BOG,130,4894,208093261,OCT
DEU,BOG,26,11295,48027357,OCT
DEU,BOG,10,4,1692788,OCT
DEU,BOG,13,15771,67059711,OCT
DEU,BOG,216,80875,351438501,OCT
DEU,BOG,70,3299,141972097,OCT
DEU,BOG,1125,588452,2528188148,OCT
DEU,BOG,17,864,36738058,OCT
DEU,BOG,1000,12249,5146454,OCT
DEU,BOG,319,578257,2429564133,OCT
DEU,BOG,253671,138811,581203045,OCT
DEU,BOG,2040,27744,116912383,OCT
DEU,BOG,2380,32368,13639778,OCT
DEU,BOG,40200,65184,2768215968,OCT
DEU,BOG,230280,368844,156569128,OCT
DEU,BOG,180,27,11843982,OCT
DEU,BOG,4760,6188,261790146,OCT
DEU,BOG,2380,3094,130895073,OCT
DEU,BOG,13320,21312,900941356,OCT
DEU,BOG,91980,136908,5789036573,OCT
DEU,BOG,8160,2448,1024590432,OCT
DEU,BOG,8,8800,37301880,OCT
DEU,BOG,2,2200,9325470,OCT
DEU,BOG,48568,39695,1672151875,OCT
DEU,BOG,834,834,3529462,OCT
DEU,BOG,32845,46465,1883579584,OCT
DEU,BOG,338121,245878387,10373020843,OCT
DEU,BOG,560,1975322,8359503444,OCT
DEU,BOG,21625,6386388,2801491278,OCT
DEU,BOG,300,8831,363891952,OCT
ARM,BOG,60,12,49447,OCT
ARM,BOG,448,14688,64431262,OCT
ARM,BOG,800,148,60100284,OCT
ARM,BOG,1540,2464,108087302,OCT
ARM,BOG,37690,56535,2479998231,OCT
ARM,BOG,10560,32704,1425698176,OCT
ARM,BOG,700,126,5340951,OCT
ABW,BOG,2864,97786,428953934,OCT
ABW,BOG,2532,86624,379990035,OCT
ABW,BOG,1593,46456,203786676,OCT
ABW,BOG,25,3875,169983075,OCT
ABW,BOG,156,10734,47086408,OCT
ABW,BOG,161,65125,285681232,OCT
ABW,BOG,4325,1384,585516424,OCT
ABW,BOG,3340,15635,661455873,OCT
ABW,BOG,169,9312,393954402,OCT
ABW,BOG,13566,514846,2182354966,OCT
ABW,BOG,564,21405,90732584,OCT
ABW,BOG,377,14308,60649465,OCT
ABW,BOG,1317,49982,2118662,OCT
ABW,BOG,752,2854,120976779,OCT
ABW,BOG,376,1427,60488389,OCT
ABW,BOG,29025,1101532,4669228908,OCT
ABW,BOG,9096,64365,27283358,OCT
ABW,BOG,30,877,36137837,OCT
ABW,BOG,120,31392,129354503,OCT
ABW,BOG,24,38766,163646404,OCT
ABW,BOG,344,576612,2434104129,OCT
ABW,BOG,75,2378,1003846542,OCT
ABW,BOG,347,74762,3155995591,OCT
ABW,BOG,41,205,85833705,OCT
ABW,BOG,8,18,7598502,OCT
ABW,BOG,4591,139065,610030872,OCT
ABW,BOG,200,6058,26574386,OCT
ABW,BOG,998,3023,132608731,OCT
ABW,BOG,798,24172,106034345,OCT
ABW,BOG,600,18174,79723158,OCT
ABW,BOG,200,6058,26574386,OCT
ABW,BOG,7985,241876,1061027768,OCT
ABW,BOG,715,36288,159183118,OCT
ABW,BOG,225,3300,13598046,OCT
ABW,BOG,86,14442,59509994,OCT
ABW,BOG,21,35079,144547228,OCT
ABW,BOG,113,338879,1396391584,OCT
ABW,BOG,241,525443,2165150934,OCT
ABW,BOG,60,16826,693335521,OCT
ABW,BOG,228,497533,205014443,OCT
ABW,BOG,12,5466,22523308,OCT
ABW,BOG,524,5824,246870624,OCT
ABW,BOG,291,23069,97786029,OCT
ABW,BOG,4188,239364,1002219461,OCT
ABW,BOG,3682,19536,817974273,OCT
ABW,BOG,31067,66356,2778332355,OCT
ABW,BOG,14412,61644,2581040444,OCT
ABW,BOG,1666,10992,460236139,OCT
ABW,BOG,325,15457,6369242334,OCT
ABW,BOG,21,567,233639154,OCT
ABW,BOG,4725,1542,66877168,OCT
ABW,BOG,250,35,14654535,OCT
ABW,BOG,1750,2425,10450872,OCT
ABW,BOG,2630,6576,282440245,OCT
ABW,BOG,1660,498,214719138,OCT
ABW,BOG,500,3165,137690566,OCT
ABW,BOG,5437,268991,115770332,OCT
ABW,BOG,188,251424,1073405048,OCT
ABW,BOG,60,12272,5173993,OCT
ABW,BOG,55,12453,52519512,OCT
ABW,BOG,168,36655,154617151,OCT
ABW,BOG,60,12273,52694354,OCT
ABW,BOG,55,12452,53537524,OCT
ABW,BOG,168,36655,157724417,OCT
ABW,BOG,38922,34810196,1508545745,OCT
ABW,BOG,474,379259,1603275704,OCT
BIH,BOG,5,40,1685588,OCT
BIH,BOG,31755,88915,3753448918,OCT
BIH,BOG,9000,1080,45591012,OCT
AGO,BOG,3,1229998,5226261502,OCT
AGO,BOG,30,35487,150784263,OCT
AGO,BOG,95,29965,127321285,OCT
AGO,BOG,2385,145522,618322978,OCT
AGO,BOG,265,5657,24036593,OCT
SAU,BOG,920,7668,324156265,OCT
SAU,BOG,8772,587526,2480176381,OCT
SAU,BOG,11948,941873,4027265395,OCT
SAU,BOG,10,138,6015972,OCT
SAU,BOG,962,36556,159362226,OCT
SAU,BOG,30,1212,51274993,OCT
SAU,BOG,20,1182,5000581,OCT
SAU,BOG,28,1281,54194114,OCT
SAU,BOG,16,672,28429699,OCT
SAU,BOG,14,504,21322274,OCT
SAU,BOG,45,13875,58699713,OCT
SAU,BOG,25,1485,62824558,OCT
SAU,BOG,153,785,33210288,OCT
SAU,BOG,20,90,3807549,OCT
SAU,BOG,17,9267,3756619392,OCT
SAU,BOG,6,1711,693598336,OCT
SAU,BOG,3,891,361190016,OCT
SAU,BOG,16,2014609,8489501887,OCT
SAU,BOG,6,5144456,2167858325,OCT
SAU,BOG,12900,4093,1695087299,OCT
SAU,BOG,800,152,62949736,OCT
SAU,BOG,210,21,8697,OCT
SAU,BOG,540,1728,7156391,OCT
SAU,BOG,610,6845,283480883,OCT
SAU,BOG,700,219,90697317,OCT
SAU,BOG,469,2582,1069317226,OCT
SAU,BOG,5040,4617648,1945863014,OCT
SAU,BOG,8400,769608,3249508162,OCT
SAU,BOG,4219,148404,6509978905,OCT
SAU,BOG,720,10320,427395576,OCT
SAU,BOG,130,10964,468890548,OCT
SAU,BOG,260,150825,646650446,OCT
SAU,BOG,1335,6173,264769206,OCT
SAU,BOG,73,4827,208424236,OCT
SAU,BOG,1539,11534,496386746,OCT
SAU,BOG,126,11256,47861525,OCT
SAU,BOG,20,180,7562754,OCT
SAU,BOG,2,11985,50802617,OCT
SAU,BOG,8,68,288241,OCT
SAU,BOG,1,726,3077405,OCT
SAU,BOG,37,186316,789765576,OCT
SAU,BOG,4,177705,755194715,OCT
SAU,BOG,1,42432,179862883,OCT
DZA,BOG,17,750,31660425,OCT
DZA,BOG,2943,1975572,8374153372,OCT
ARG,BOG,50,190931,804577506,OCT
ARG,BOG,61,38950,165498550,OCT
ARG,BOG,2,3250,13809250,OCT
ARG,BOG,31460,3146,1331377762,OCT
ARG,BOG,95950,264465,1152908721,OCT
ARG,BOG,51702,10376,43708900,OCT
ARG,BOG,64,1010,41964894,OCT
ARG,BOG,13273,236254,978429403,OCT
ARG,BOG,3200,58448,2428479331,OCT
ARG,BOG,275077,8419045,3562497931,OCT
ARG,BOG,151368,141713,5995324349,OCT
ARG,BOG,300,29371,1244992633,OCT
ARG,BOG,1200,7668,3113844444,OCT
ARG,BOG,2,373316,1515972812,OCT
ARG,BOG,250707,234715,9929876261,OCT
ARG,BOG,78,1880,82469208,OCT
ARG,BOG,7,68528,282377847,OCT
ARG,BOG,20,1456,61717656,OCT
ARG,BOG,1,3262,13827128,OCT
ARG,BOG,1,7385,31303907,OCT
ARG,BOG,5,4305,18248249,OCT
ARG,BOG,1,850,36030225,OCT
ARG,BOG,29,36,1525986,OCT
ARG,BOG,8,73415,311195172,OCT
ARG,BOG,1,4456,18888315,OCT
ARG,BOG,1,1297,549778845,OCT
ARG,BOG,1,2846,12063767,OCT
ARG,BOG,1,143,60615555,OCT
ARG,BOG,10,321,13606708,OCT
ARG,BOG,4,3484,14768153,OCT
ARG,BOG,10,108,4577958,OCT
ARG,BOG,3,7364,3109147,OCT
ARG,BOG,1300,78,33166302,OCT
ARG,BOG,17,17226,73246502,OCT
ARG,BOG,72,6156,26175865,OCT
ARG,BOG,12,297064,1243809938,OCT
ARG,BOG,17075,223683,929389444,OCT
ARG,BOG,760,4712,195780772,OCT
ARG,BOG,18625,55505,2354988744,OCT
ARG,BOG,4200,462,193439862,OCT
ARG,BOG,355,3045,127494454,OCT
ARG,BOG,3240,6704,28485296,OCT
ARG,BOG,2,88168,386763038,OCT
ARG,BOG,179,1746727,7501828342,OCT
ARG,BOG,2,6464,2835537,OCT
ARG,BOG,1,9983,40468686,OCT
ARG,BOG,896800,4481509,1874082415,OCT
ARG,BOG,1,2285,100235181,OCT
ARG,BOG,60000,51516,2174691272,OCT
ARG,BOG,21,21434,86888291,OCT
ARG,BOG,69,328422,1331343966,OCT
ARG,BOG,1,21457,86981528,OCT
ARG,BOG,155,1108176,4492279541,OCT
ARG,BOG,24,140495,569533011,OCT
ARG,BOG,12,13715,55597318,OCT
ARG,BOG,202428,146355666,6197042738,OCT
AUS,BOG,216960,3824417,1614224632,OCT
AUS,BOG,19600,5467,2304265579,OCT
AUS,BOG,22000,2200,9288598,OCT
AUS,BOG,8100,4860,205607646,OCT
AUS,BOG,335,223,94270797,OCT
AUS,BOG,1500,315,132995835,OCT
AUS,BOG,5400,1134,478785006,OCT
AUS,BOG,7150,2431,1066397046,OCT
AUS,BOG,33600,5880,238776804,OCT
AUS,BOG,16850,3370,147830442,OCT
AUS,BOG,60770,116383,4717887501,OCT
AUS,BOG,2988,30024,1317050798,OCT
AUS,BOG,40,84,36847944,OCT
AUS,BOG,500,20,846394,OCT
